GraphNo,Stadd1,aCo,bCo,cCo
252,0,1,1000,1000000
253,635,1,365,133225
253,0,1,1000,1000000
254,651,1,349,121801
254,0,1,1000,1000000
255,654,1,346,119716
255,0,1,1000,1000000
256,662,1,338,114244
256,0,1,1000,1000000
257,650,1,350,122500
257,0,1,1000,1000000
258,660,1,340,115600
258,0,1,1000,1000000
259,645,1,355,126025
259,0,1,1000,1000000
260,639,1,361,130321
260,0,1,1000,1000000
261,644,1,356,126736
261,0,1,1000,1000000
262,640,1,360,129600
262,0,1,1000,1000000
263,682,1,318,101124
263,0,1,1000,1000000
264,638,1,362,131044
264,0,1,1000,1000000
265,653,1,347,120409
265,0,1,1000,1000000
266,634,1,366,133956
266,0,1,1000,1000000
267,627,1,373,139129
267,0,1,1000,1000000
268,653,1,347,120409
268,0,1,1000,1000000
269,662,1,338,114244
269,0,1,1000,1000000
270,644,1,356,126736
270,0,1,1000,1000000
271,640,1,360,129600
271,0,1,1000,1000000
272,648,1,352,123904
272,0,1,1000,1000000
273,632,1,368,135424
273,0,1,1000,1000000
274,656,1,344,118336
274,0,1,1000,1000000
275,655,1,345,119025
275,0,1,1000,1000000
276,640,1,360,129600
276,0,1,1000,1000000
277,646,1,354,125316
277,0,1,1000,1000000
278,653,1,347,120409
278,0,1,1000,1000000
279,660,1,340,115600
279,0,1,1000,1000000
280,648,1,352,123904
280,0,1,1000,1000000
281,617,1,383,146689
281,0,1,1000,1000000
282,663,1,337,113569
282,0,1,1000,1000000
283,639,1,361,130321
283,0,1,1000,1000000
284,644,1,356,126736
284,0,1,1000,1000000
285,640,1,360,129600
285,0,1,1000,1000000
286,640,1,360,129600
286,0,1,1000,1000000
287,645,1,355,126025
287,0,1,1000,1000000
288,672,1,328,107584
288,0,1,1000,1000000
289,670,1,330,108900
289,0,1,1000,1000000
290,672,1,328,107584
290,0,1,1000,1000000
291,665,1,335,112225
291,0,1,1000,1000000
292,655,1,345,119025
292,0,1,1000,1000000
293,687,1,313,97969
293,0,1,1000,1000000
294,642,1,358,128164
294,0,1,1000,1000000
295,649,1,351,123201
295,0,1,1000,1000000
296,633,1,367,134689
296,0,1,1000,1000000
297,653,1,347,120409
297,0,1,1000,1000000
298,640,1,360,129600
298,0,1,1000,1000000
299,653,1,347,120409
299,0,1,1000,1000000
300,642,1,358,128164
300,0,1,1000,1000000
301,633,1,367,134689
301,0,1,1000,1000000
302,663,1,337,113569
302,0,1,1000,1000000
303,677,1,323,104329
303,0,1,1000,1000000
304,628,1,372,138384
304,0,1,1000,1000000
305,649,1,351,123201
305,0,1,1000,1000000
306,651,1,349,121801
306,0,1,1000,1000000
307,643,1,357,127449
307,0,1,1000,1000000
308,684,1,316,99856
308,0,1,1000,1000000
309,686,1,314,98596
309,0,1,1000,1000000
310,662,1,338,114244
310,0,1,1000,1000000
311,667,1,333,110889
311,0,1,1000,1000000
312,641,1,359,128881
312,0,1,1000,1000000
313,668,1,332,110224
313,0,1,1000,1000000
314,656,1,344,118336
314,0,1,1000,1000000
315,626,1,374,139876
315,0,1,1000,1000000
316,650,1,350,122500
316,0,1,1000,1000000
317,655,1,345,119025
317,0,1,1000,1000000
318,630,1,370,136900
318,0,1,1000,1000000
319,649,1,351,123201
319,0,1,1000,1000000
320,640,1,360,129600
320,0,1,1000,1000000
321,663,1,337,113569
321,0,1,1000,1000000
322,662,1,338,114244
322,0,1,1000,1000000
323,649,1,351,123201
323,0,1,1000,1000000
324,636,1,364,132496
324,0,1,1000,1000000
325,640,1,360,129600
325,0,1,1000,1000000
326,643,1,357,127449
326,0,1,1000,1000000
327,650,1,350,122500
327,0,1,1000,1000000
328,671,1,329,108241
328,0,1,1000,1000000
329,635,1,365,133225
329,0,1,1000,1000000
330,666,1,334,111556
330,0,1,1000,1000000
331,642,1,358,128164
331,0,1,1000,1000000
332,629,1,371,137641
332,0,1,1000,1000000
333,660,1,340,115600
333,0,1,1000,1000000
334,642,1,358,128164
334,0,1,1000,1000000
335,657,1,343,117649
335,0,1,1000,1000000
336,630,1,370,136900
336,0,1,1000,1000000
337,662,1,338,114244
337,0,1,1000,1000000
338,664,1,336,112896
338,0,1,1000,1000000
339,677,1,323,104329
339,0,1,1000,1000000
340,624,1,376,141376
340,0,1,1000,1000000
341,641,1,359,128881
341,0,1,1000,1000000
342,649,1,351,123201
342,0,1,1000,1000000
343,647,1,353,124609
343,0,1,1000,1000000
344,615,1,385,148225
344,0,1,1000,1000000
345,648,1,352,123904
345,0,1,1000,1000000
346,668,1,332,110224
346,0,1,1000,1000000
347,658,1,342,116964
347,0,1,1000,1000000
348,660,1,340,115600
348,0,1,1000,1000000
349,643,1,357,127449
349,0,1,1000,1000000
350,666,1,334,111556
350,0,1,1000,1000000
351,650,1,350,122500
351,0,1,1000,1000000
352,644,1,356,126736
352,0,1,1000,1000000
353,655,1,345,119025
353,0,1,1000,1000000
354,676,1,324,104976
354,0,1,1000,1000000
355,652,1,348,121104
355,0,1,1000,1000000
356,670,1,330,108900
356,0,1,1000,1000000
357,648,1,352,123904
357,0,1,1000,1000000
358,636,1,364,132496
358,0,1,1000,1000000
359,631,1,369,136161
359,0,1,1000,1000000
360,631,1,369,136161
360,0,1,1000,1000000
361,640,1,360,129600
361,0,1,1000,1000000
362,648,1,352,123904
362,0,1,1000,1000000
363,638,1,362,131044
363,0,1,1000,1000000
364,665,1,335,112225
364,0,1,1000,1000000
365,662,1,338,114244
365,0,1,1000,1000000
366,636,1,364,132496
366,0,1,1000,1000000
367,642,1,358,128164
367,0,1,1000,1000000
368,645,1,355,126025
368,0,1,1000,1000000
369,635,1,365,133225
